 -1.39626 -0.785398        -0  -2.18166         0   1.39626        -0	-0 -0 -0  0  0 -0 -0
 -1.39576 -0.785398 -0.000259  -2.18166 -0.000226   1.39626   0.00028	  1.00543 -0.000139 -0.518888   6.7e-05 -0.451173 -0.000163  0.560175
 -1.39429 -0.785399 -0.001013  -2.18166  -0.00086   1.39626  0.000897	  1.93181 -0.001038 -0.987474  0.000506 -0.816723 -0.001164  0.674048
 -1.39193 -0.785401 -0.002209  -2.18166 -0.001818   1.39626  0.001578	  2.79587 -0.003277   -1.4057  0.001535  -1.10079 -0.003304   0.68725
 -1.38873 -0.785406 -0.003801  -2.18166 -0.003026   1.39626   0.00226	  3.60512 -0.007277  -1.77759  0.003238  -1.31475 -0.006497   0.67688
 -1.38474 -0.785416 -0.005743  -2.18165 -0.004418   1.39625  0.002929	   4.3646 -0.013332  -2.10759  0.005617  -1.46998  -0.01048  0.660353
 -1.38002 -0.785433 -0.007997  -2.18165 -0.005942   1.39623   0.00358	  5.07838 -0.021627  -2.39979  0.008639  -1.57651 -0.014939  0.641768
 -1.37461  -0.78546 -0.010526  -2.18164 -0.007551   1.39622  0.004212	  5.75001 -0.032262  -2.65783  0.012246  -1.64289 -0.019564   0.62224
 -1.36854 -0.785498 -0.013297  -2.18162 -0.009211    1.3962  0.004824	  6.38262 -0.045272  -2.88491  0.016378  -1.67636 -0.024086  0.602178
 -1.36186 -0.785551 -0.016282   -2.1816 -0.010891   1.39617  0.005416	  6.97898 -0.060634  -3.08389  0.020968  -1.68305 -0.028287  0.581816
  -1.3546  -0.78562 -0.019452  -2.18158 -0.012566   1.39614  0.005987	  7.54161 -0.078286  -3.25728  0.025956  -1.66812 -0.031996  0.561314
 -1.34679 -0.785708 -0.022785  -2.18155 -0.014218   1.39611  0.006538	  8.07273 -0.098131  -3.40732  0.031283  -1.63589 -0.035092  0.540809
 -1.33847 -0.785817 -0.026256  -2.18152 -0.015831   1.39607  0.007069	  8.57437 -0.120047  -3.53601  0.036895  -1.59003 -0.037494  0.520403
 -1.32966 -0.785949 -0.029847  -2.18148 -0.017393   1.39603  0.007579	  9.04835 -0.143893  -3.64513  0.042743  -1.53359 -0.039153  0.500179
 -1.32038 -0.786106 -0.033538  -2.18143 -0.018894   1.39599   0.00807	  9.49634 -0.169513  -3.73629  0.048783  -1.46912 -0.040049  0.480214
 -1.31068 -0.786289 -0.037311  -2.18138 -0.020328   1.39595   0.00854	  9.91987 -0.196743  -3.81095  0.054974  -1.39876 -0.040183  0.460552
 -1.30056 -0.786499 -0.041152  -2.18132  -0.02169   1.39591  0.008991	  10.3203 -0.225409   -3.8704  0.061279  -1.32428 -0.039575  0.441251
 -1.29005  -0.78674 -0.045045  -2.18126 -0.022975   1.39587  0.009423	  10.6989 -0.255337  -3.91585  0.067665  -1.24715 -0.038256  0.422335
 -1.27917  -0.78701 -0.048977  -2.18119 -0.024183   1.39584  0.009836	  11.0569 -0.286347  -3.94838  0.074105  -1.16859 -0.036269  0.403828
 -1.26794 -0.787313 -0.052936  -2.18111 -0.025312    1.3958   0.01023	  11.3954 -0.318263  -3.96899  0.080571  -1.08958 -0.033658  0.385752
 -1.25639 -0.787647  -0.05691  -2.18103 -0.026363   1.39577  0.010607	  11.7153  -0.35091  -3.97858  0.087039  -1.01094 -0.030475  0.368123
 -1.24452 -0.788014 -0.060888  -2.18094 -0.027335   1.39574  0.010967	  12.0177 -0.384117  -3.97802  0.093487 -0.933315 -0.026772  0.350936
 -1.23236 -0.788415 -0.064862  -2.18084  -0.02823   1.39572  0.011309	  12.3034 -0.417715  -3.96807  0.099896 -0.857228   -0.0226  0.334198
-1.21992 -0.78885 -0.06882 -2.18074 -0.02905   1.3957 0.011635	  12.5732 -0.451543  -3.94946  0.106248 -0.783089 -0.018012  0.317916
 -1.20722 -0.789318 -0.072757  -2.18063 -0.029797   1.39568  0.011945	  12.8278 -0.485445  -3.92287  0.112528 -0.711216 -0.013063  0.302079
 -1.19427  -0.78982 -0.076663  -2.18051 -0.030474   1.39567   0.01224	  13.0682 -0.519271  -3.88893  0.118721 -0.641848 -0.007799  0.286685
 -1.18109 -0.790356 -0.080531  -2.18039 -0.031082   1.39566  0.012519	  13.2948  -0.55288  -3.84821  0.124813 -0.575158 -0.002267  0.271723
 -1.16769 -0.790926 -0.084356  -2.18026 -0.031625   1.39566  0.012783	  13.5084 -0.586136  -3.80129  0.130794 -0.511266  0.003486  0.257194
 -1.15408 -0.791528 -0.088131  -2.18013 -0.032106   1.39567  0.013034	  13.7096 -0.618912  -3.74866  0.136652 -0.450245  0.009418  0.243087
 -1.14028 -0.792163 -0.091851  -2.17999 -0.032527   1.39568   0.01327	  13.8989  -0.65109  -3.69083  0.142376 -0.392133  0.015491  0.229381
 -1.12629  -0.79283  -0.09551  -2.17984 -0.032892    1.3957  0.013493	   14.077 -0.682557  -3.62824  0.147958 -0.336935   0.02167  0.216081
 -1.11213 -0.793528 -0.099105  -2.17969 -0.033202   1.39573  0.013702	  14.2443 -0.713212  -3.56134  0.153389  -0.28463  0.027917  0.203166
 -1.09781 -0.794256 -0.102631  -2.17954 -0.033462   1.39576  0.013899	  14.4013 -0.742957  -3.49053   0.15866 -0.235181  0.034204  0.190636
