 -1.39626 -0.785398        -0  -2.18166         0   1.39626        -0	-0 -0 -0  0  0 -0 -0
 -1.39626 -0.785398        -0  -2.18166         0   1.39626        -0	-0 -0 -0  0  0 -0 -0
 -1.39567 -0.785399  -8.1e-05  -2.18167 -0.000161   1.39626  -8.6e-05	  1.18436 -0.001306 -0.161408 -0.007474 -0.321895  0.000581 -0.172496
  -1.3939 -0.785401 -0.000323  -2.18168 -0.000644   1.39627 -0.000345	  2.36871 -0.002901 -0.322821 -0.015121 -0.643775  0.001207 -0.344986
 -1.39096 -0.785405 -0.000721   -2.1817 -0.001438   1.39627 -0.000771	  3.50551 -0.004848  -0.47359 -0.022817 -0.944386  0.002075 -0.506083
 -1.38691 -0.785411 -0.001265  -2.18172 -0.002522   1.39627 -0.001351	  4.59428 -0.007017 -0.613609 -0.030524  -1.22352  0.003595 -0.655675
 -1.38179 -0.785419 -0.001943  -2.18176 -0.003875   1.39627 -0.002076	  5.63647 -0.009274 -0.743316 -0.038215  -1.48206  0.006173 -0.794228
 -1.37566 -0.785429 -0.002746   -2.1818 -0.005476   1.39628 -0.002935	  6.63355 -0.011502 -0.863162 -0.045871  -1.72088  0.010195 -0.922222
 -1.36855 -0.785441 -0.003665  -2.18185 -0.007307    1.3963 -0.003916	  7.58695 -0.013596 -0.973588 -0.053478  -1.94085  0.016025  -1.04012
 -1.36051 -0.785456 -0.004689   -2.1819 -0.009349   1.39631  -0.00501	  8.49809 -0.015462  -1.07503 -0.061026  -2.14284     0.024  -1.14838
 -1.35157 -0.785472  -0.00581  -2.18197 -0.011584   1.39634 -0.006208	  9.36831 -0.017017   -1.1679  -0.06851  -2.32766  0.034431  -1.24745
 -1.34179 -0.785489 -0.007021  -2.18204 -0.013996   1.39638   -0.0075	  10.1989 -0.018188  -1.25263 -0.075927  -2.49612  0.047603  -1.33774
 -1.33119 -0.785508 -0.008312  -2.18212 -0.016568   1.39644 -0.008879	  10.9913 -0.018914   -1.3296 -0.083276  -2.64901  0.063772  -1.41969
 -1.31982 -0.785527 -0.009676  -2.18221 -0.019287   1.39651 -0.010336	  11.7465  -0.01914  -1.39921 -0.090561  -2.78708  0.083165  -1.49368
 -1.30772 -0.785546 -0.011107   -2.1823 -0.022136   1.39661 -0.011863	   12.466  -0.01882  -1.46183 -0.097785  -2.91107  0.105982  -1.56013
 -1.29491 -0.785564 -0.012596   -2.1824 -0.025102   1.39673 -0.013452	  13.1507 -0.017917  -1.51785 -0.104951  -3.02171  0.132395  -1.61939
 -1.28143 -0.785581 -0.014139  -2.18251 -0.028173   1.39687 -0.015098	  13.8019   -0.0164   -1.5676 -0.112064  -3.11969  0.162546  -1.67185
 -1.26732 -0.785596 -0.015729  -2.18263 -0.031335   1.39705 -0.016793	  14.4207 -0.014246  -1.61145 -0.119131  -3.20569  0.196552  -1.71786
 -1.25261 -0.785609 -0.017359  -2.18275 -0.034578   1.39727 -0.018531	  15.0082 -0.011436  -1.64971 -0.126155  -3.28037  0.234503  -1.75776
 -1.23732 -0.785619 -0.019025  -2.18288 -0.037891   1.39752 -0.020305	  15.5653 -0.007959  -1.68272 -0.133143  -3.34436   0.27646  -1.79189
 -1.22149 -0.785624 -0.020722  -2.18302 -0.041262   1.39782 -0.022112	  16.0932 -0.003808  -1.71079   -0.1401  -3.39827  0.322463  -1.82057
 -1.20515 -0.785626 -0.022444  -2.18316 -0.044682   1.39817 -0.023944	  16.5927  0.001019  -1.73421 -0.147029  -3.44269  0.372527   -1.8441
 -1.18832 -0.785622 -0.024188  -2.18331 -0.048142   1.39857 -0.025797	  17.0649   0.00652  -1.75327 -0.153936  -3.47819  0.426642  -1.86278
 -1.17103 -0.785612 -0.025949  -2.18347 -0.051634   1.39902 -0.027667	  17.5107  0.012689  -1.76825 -0.160821  -3.50533  0.484778  -1.87691
 -1.15331 -0.785596 -0.027722  -2.18363 -0.055149   1.39954 -0.029549	  17.931 0.019517 -1.77942 -0.16769 -3.52462 0.546885 -1.88676
 -1.13518 -0.785573 -0.029505   -2.1838  -0.05868   1.40012 -0.031438	  18.3266  0.026989  -1.78702 -0.174542  -3.53656  0.612893  -1.89258
 -1.11667 -0.785542 -0.031294  -2.18398 -0.062218   1.40077 -0.033332	  18.6984  0.035092   -1.7913 -0.181379  -3.54165  0.682715  -1.89464
  -1.0978 -0.785502 -0.033086  -2.18417 -0.065759   1.40149 -0.035226	  19.0473  0.043807  -1.79249 -0.188202  -3.54034  0.756245  -1.89318
 -1.07859 -0.785454 -0.034878  -2.18436 -0.069296   1.40228 -0.037116	  19.3739  0.053113   -1.7908 -0.195009  -3.53307  0.833365  -1.88842
 -1.05906 -0.785396 -0.036666  -2.18456 -0.072822   1.40315 -0.039001	  19.6792  0.062988  -1.78646 -0.201799  -3.52027  0.913939  -1.88059
 -1.03924 -0.785328 -0.038449  -2.18476 -0.076334   1.40411 -0.040876	  19.9638  0.073408  -1.77965 -0.208571  -3.50232  0.997823  -1.86991
